"enumrtr","lga","ward","village","subvillage","under_18","HH_size","dogs","puppies","Land.Use","longitude","latitude","precision"
35,"Tarime DC","Mbogi",30,76,2,4,0,0,"Built",34.5692272380449,-1.3170045609615,2.98
35,"Tarime DC","Mbogi",30,18,2,4,0,0,"Built",34.5787933707636,-1.31971568731303,4.92
80,"Butiama DC","Kyanyari",10,125,2,4,0,0,"Built",33.7921130117628,-1.82615330106489,4.86
35,"Tarime DC","Mbogi",30,161,2,4,1,0,"Built",34.5755062360505,-1.31857338124014,4.86
391,"Butiama DC","Kyanyari",10,125,2,4,0,0,"Built",33.7890364799251,-1.82863913416467,4.76
80,"Butiama DC","Kyanyari",10,125,2,4,2,0,"Built",33.7888629751066,-1.82545747775611,4.633
80,"Butiama DC","Kyanyari",10,125,2,4,0,0,"Built",33.7881357704686,-1.82352643803134,4.2
391,"Butiama DC","Kyanyari",10,125,2,4,0,0,"Built",33.7887511820843,-1.82564133931986,4.64
80,"Butiama DC","Kyanyari",10,125,2,4,0,0,"Built",33.7865363976685,-1.82769682211882,4.783
112,"Musoma DC","Bwasi",69,115,2,4,0,0,"Built",33.3801978572634,-1.86035727246963,5.4
112,"Musoma DC","Bwasi",69,115,2,4,1,0,"Built",33.3809840984463,-1.86068960001606,6.65
69,"Tarime DC","Sirari",8,62,2,4,0,0,"Built",34.471581856434,-1.24995865913116,4.556
20,"Tarime DC","Kibasuka",18,18,2,4,0,0,"Built",34.4396944179459,-1.41827537712836,4.9
63,"Bunda DC","Nansimo",47,82,2,4,0,0,"Built",33.3686215703494,-2.15515323251394,3500
63,"Bunda DC","Nansimo",47,180,2,4,0,0,"Built",33.3686215703494,-2.15515323251394,3500
63,"Bunda DC","Nansimo",47,180,2,4,0,0,"Built",33.3686215703494,-2.15515323251394,3500
63,"Bunda DC","Nansimo",47,180,2,4,0,0,"Built",33.3686215703494,-2.15515323251394,3500
63,"Bunda DC","Nansimo",47,180,2,4,0,0,"Built",33.3686215703494,-2.15515323251394,3500
63,"Bunda DC","Nansimo",47,180,2,4,0,0,"Built",33.3686215703494,-2.15515323251394,3500
63,"Bunda DC","Nansimo",47,3,2,4,0,0,"Built",33.3686215703494,-2.15515323251394,3500
63,"Bunda DC","Nansimo",47,3,2,4,0,0,"Built",33.3686215703494,-2.15515323251394,3500
113,"Rorya DC","Nyamuga",70,163,2,4,0,0,"Built",33.8085921372346,-1.49818620770553,1899.999
101,"Musoma MC","Kigera",28,41,2,4,0,0,"Built",33.8005901831918,-1.51780223044879,3.9
62,"Butiama DC","Butiama",46,81,2,4,0,0,"Built",33.9675195706625,-1.76037092783487,4.3
62,"Butiama DC","Butiama",46,81,2,4,0,0,"Built",33.9736848288656,-1.76073716133155,4.82
62,"Butiama DC","Butiama",46,81,2,4,1,0,"Built",33.9721217731419,-1.7559960344876,4.716
101,"Musoma MC","Kigera",28,41,2,4,0,0,"Built",33.7973874523955,-1.5249427679398,3.9
101,"Musoma MC","Kigera",28,41,2,4,1,0,"Built",33.7982242791114,-1.52522804181386,3.9
101,"Musoma MC","Kigera",28,41,2,4,1,0,"Built",33.7982968518197,-1.52536411779043,3.9
101,"Musoma MC","Kigera",28,41,2,4,0,0,"Built",33.7984324058628,-1.52441681965453,3.9
2,"Musoma MC","Nyamatare",2,2,2,4,0,0,"Built",33.7968457883908,-1.51017530615038,4.983
2,"Musoma MC","Nyamatare",2,2,2,4,0,0,"Built",33.7985656467021,-1.510769394155,4.337
2,"Musoma MC","Nyamatare",2,2,2,4,0,0,"Built",33.7997339424503,-1.51072596850266,5
2,"Musoma MC","Nyamatare",2,2,2,4,0,0,"Built",33.7993180848898,-1.51051101894015,4.85
2,"Musoma MC","Nyamatare",2,2,2,4,0,0,"Built",33.7989764688884,-1.51039203465143,4.916
2,"Musoma MC","Nyamatare",2,2,2,4,0,0,"Built",33.7986250672145,-1.51013770602709,4.75
2,"Musoma MC","Nyamatare",2,2,2,4,0,0,"Built",33.7983469121218,-1.50954991418715,4.52
2,"Musoma MC","Nyamatare",2,2,2,4,0,0,"Built",33.7985722114668,-1.50949655582341,4.95
4,"Musoma MC","Mshikamano",4,13,2,4,0,0,"Built",33.8078749409545,-1.5219017782773,7.598
133,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.777609063807,-1.52939816169741,4.292
133,"Musoma MC","Buhare",14,22,2,4,1,0,"Built",33.7770983768451,-1.52953131785468,4.58
133,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7783866922424,-1.53013207839238,4.8
133,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7763773809972,-1.53086897059097,3.8
133,"Musoma MC","Buhare",14,22,2,4,1,0,"Built",33.7761870353811,-1.53119236546661,3.45
133,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7763943643366,-1.53048874266853,1.78
133,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7781506546744,-1.53121443305001,3.52
133,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7773427350642,-1.53167748835534,4.775
133,"Musoma MC","Buhare",14,22,2,4,2,0,"Built",33.7769703564176,-1.53166187024831,3.307
133,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.767766201996,-1.52413761897052,4.216
133,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7692356037592,-1.52465231178215,4.24
133,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7715699985341,-1.52420410352765,4.96
133,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7709913647237,-1.52412119847972,4.82
133,"Musoma MC","Buhare",14,22,2,4,3,0,"Built",33.7733198995028,-1.52220200712174,4.36
133,"Musoma MC","Buhare",14,22,2,4,1,0,"Built",33.7733026581613,-1.52197286962389,4.18
133,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7753481800461,-1.51785589496829,4.27
130,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7765081037894,-1.52884021960811,4.951
130,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7710608939937,-1.52192306262778,4.6
130,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7718190756784,-1.51852065688146,4.743
99,"Rorya DC","Koryo",59,128,2,4,3,0,"Built",34.2069204272723,-1.31633291703317,4.586
185,"Musoma MC","Nyamatare",2,158,2,4,0,0,"Built",33.7969364681289,-1.50954569743359,5.416
185,"Musoma MC","Nyamatare",2,158,2,4,0,0,"Built",33.7967503898836,-1.50942215731711,5
185,"Musoma MC","Nyamatare",2,158,2,4,0,0,"Built",33.797214233142,-1.51084415221007,8.9
185,"Musoma MC","Nyamatare",2,158,2,4,0,0,"Built",33.7950812615329,-1.51043284974574,10.5
185,"Musoma MC","Nyamatare",2,158,2,4,0,0,"Built",33.7982067739883,-1.50956520464496,9.1
101,"Musoma MC","Kigera",28,41,2,4,0,0,"Built",33.7969947674064,-1.52778512852149,3.9
101,"Musoma MC","Kigera",28,41,2,4,0,0,"Built",33.7976489521859,-1.52750016980467,3.9
12,"Bunda DC","Neruma",11,78,2,4,0,0,"Built",33.5096049620175,-2.16240688724611,4.1
12,"Bunda DC","Neruma",11,78,2,4,0,0,"Built",33.509306843865,-2.16068059505097,4.82
12,"Bunda DC","Neruma",11,78,2,4,0,0,"Built",33.5090485086631,-2.1613022815321,4.7
12,"Bunda DC","Neruma",11,78,2,4,0,0,"Built",33.5094688372351,-2.15774267847538,4.8
308,"Musoma MC","Bweri",64,177,2,4,2,2,"Built",33.8493989999114,-1.53638625582433,8.1
308,"Musoma MC","Bweri",64,201,2,4,1,1,"Built",33.8483655337317,-1.53542588516464,96
96,"Musoma MC","Bweri",64,323,2,4,1,0,"Built",33.8494535993689,-1.53858993120397,96
513,"Serengeti DC","Rigwani",16,24,2,4,1,0,"Built",34.496586635038,-1.72999448252946,96
514,"Serengeti DC","Rigwani",16,24,2,4,0,0,"Built",34.4955684145215,-1.72854346817609,6.9
515,"Serengeti DC","Rigwani",16,24,2,4,1,0,"Built",34.4958973101042,-1.72769006101993,6.5
516,"Serengeti DC","Rigwani",16,24,2,4,1,0,"Built",34.4964111465839,-1.72908103217265,96
